"yr","region","codsp","codgr","fl","source"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",60,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",61,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",62,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",63,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
