"year","species","catch","type"
1983,"BLT",0,"ICCAT"
1983,"BON",0,"ICCAT"
1983,"BRS",4511,"ICCAT"
1983,"DOL",0,"ICCAT"
1983,"FRI",11,"ICCAT"
1983,"KGM",2695,"ICCAT"
1983,"LTA",0,"ICCAT"
1983,"WAH",0.2,"ICCAT"
1984,"BLF",203,"ICCAT"
1984,"BLT",0,"ICCAT"
1984,"BON",187.3,"ICCAT"
1984,"BRS",6259,"ICCAT"
1984,"DOL",0,"ICCAT"
1984,"FRI",634,"ICCAT"
1984,"KGM",2588,"ICCAT"
1984,"LTA",765,"ICCAT"
1984,"WAH",0.3,"ICCAT"
1985,"BLF",133.1,"ICCAT"
1985,"BLT",0,"ICCAT"
1985,"BON",179,"ICCAT"
1985,"BRS",1504,"ICCAT"
1985,"DOL",0,"ICCAT"
1985,"FRI",623,"ICCAT"
1985,"KGM",806,"ICCAT"
1985,"LTA",785.3,"ICCAT"
1985,"WAH",21.4,"ICCAT"
1986,"BLF",172,"ICCAT"
1986,"BLT",0,"ICCAT"
1986,"BON",523,"ICCAT"
1986,"BRS",5011,"ICCAT"
1986,"DOL",0,"ICCAT"
1986,"FRI",941,"ICCAT"
1986,"KGM",2890,"ICCAT"
1986,"LTA",479,"ICCAT"
1986,"WAH",141,"ICCAT"
1987,"BLF",254,"ICCAT"
1987,"BLT",0,"ICCAT"
1987,"BON",345,"ICCAT"
1987,"BRS",4741,"ICCAT"
1987,"DOL",0,"ICCAT"
1987,"FRI",1260,"ICCAT"
1987,"KGM",2173,"ICCAT"
1987,"LTA",187,"ICCAT"
1987,"WAH",133,"ICCAT"
1988,"BLF",229,"ICCAT"
1988,"BLT",0,"ICCAT"
1988,"BON",214,"ICCAT"
1988,"BRS",5063,"ICCAT"
1988,"DOL",0,"ICCAT"
1988,"FRI",1904,"ICCAT"
1988,"KGM",2029,"ICCAT"
1988,"LTA",108,"ICCAT"
1988,"WAH",58.2,"ICCAT"
1989,"BLF",120,"ICCAT"
1989,"BLT",0,"ICCAT"
1989,"BON",273,"ICCAT"
1989,"BRS",5927,"ICCAT"
1989,"DOL",0,"ICCAT"
1989,"FRI",700,"ICCAT"
1989,"KGM",2102,"ICCAT"
1989,"LTA",74,"ICCAT"
1989,"WAH",92,"ICCAT"
1990,"BLF",335,"ICCAT"
1990,"BLT",0,"ICCAT"
1990,"BON",226.4,"ICCAT"
1990,"BRS",2767,"ICCAT"
1990,"DOL",0,"ICCAT"
1990,"FRI",592,"ICCAT"
1990,"KGM",2070,"ICCAT"
